,li_group,head_age,nu18,n1864,n65,nu18smooth,n1864smooth,n65smooth
318,"(0.9, 0.99]",33.0,1.6018614270941054,0.815925542916236,0.0,1.4962215363675726,1.8323021341279193,0.00011694074041366517
319,"(0.9, 0.99]",34.0,1.7074898785425099,0.8208502024291495,0.0,1.4459275390069681,1.8529944522444581,9.950010799460811e-05
320,"(0.9, 0.99]",35.0,1.7740585774058577,0.8221757322175729,0.0,1.4051679814772329,1.8761121913134104,8.098209850451781e-05
321,"(0.9, 0.99]",36.0,1.8287461773700304,0.8532110091743117,0.0,1.3881066255513677,1.9017530153283562,6.340789449112185e-05
322,"(0.9, 0.99]",37.0,1.866948257655755,0.8648363252375924,0.0,1.3808827355176936,1.929974945411949,4.8529668125612895e-05
323,"(0.9, 0.99]",38.0,1.8337004405286343,0.8920704845814975,0.0,1.374845968359695,1.96079526221158,3.634972872503988e-05
324,"(0.9, 0.99]",39.0,1.8733624454148472,0.9639737991266373,0.0,1.3686277026415943,1.9939557287468754,2.6007709755700945e-05
325,"(0.9, 0.99]",40.0,1.8112773302646716,0.9942462600690449,0.0,1.3663048721723696,2.028796884019662,2.5668801491696646e-05
326,"(0.9, 0.99]",41.0,1.7340425531914894,1.0401891252955084,0.0,1.3775546589915462,2.0643459783143037,4.835546674133733e-05
327,"(0.9, 0.99]",42.0,1.5914489311163895,1.1021377672209027,0.0,1.4104477063960694,2.099632368369664,0.00010191156749190006
328,"(0.9, 0.99]",43.0,1.4811664641555289,1.1579586877278252,0.0,1.4266184972146085,2.133528008053573,0.0001858974389967863
329,"(0.9, 0.99]",44.0,1.4002557544757033,1.2212276214833762,0.0,1.3577794863154211,2.1650685787687034,0.00029230732109823123
330,"(0.9, 0.99]",45.0,1.235374149659864,1.2775510204081635,0.0,1.237813877084549,2.193456855421407,0.00041680695504411625
331,"(0.9, 0.99]",46.0,1.1305555555555555,1.270833333333333,0.0,1.1157648761211751,2.218219514489836,0.0005591250248679124
332,"(0.9, 0.99]",47.0,0.96301775147929,1.3846153846153846,0.0,1.0007292491231454,2.2389071005822005,0.0007212887933038853
333,"(0.9, 0.99]",48.0,0.875968992248062,1.3488372093023258,0.0,0.8941772002350811,2.255256035176589,0.0009071235051638224
334,"(0.9, 0.99]",49.0,0.7050243111831442,1.353322528363047,0.0,0.7967256721783148,2.267056763012075,0.0011224622385146504
335,"(0.9, 0.99]",50.0,0.5813148788927336,1.3425605536332186,0.0017301038062283738,0.7076202278625784,2.274042277877137,0.001375842511912491
336,"(0.9, 0.99]",51.0,0.4910394265232975,1.3297491039426523,0.003584229390681004,0.6252697793934271,2.2759648897624496,0.0016786804284353066
337,"(0.9, 0.99]",52.0,0.4169811320754717,1.358490566037736,0.0018867924528301887,0.5481705521835124,2.2727349634417733,0.002040861175463717
338,"(0.9, 0.99]",53.0,0.2965235173824131,1.2699386503067487,0.002044989775051125,0.4752665133587082,2.26421347006192,0.0024617475341840948
339,"(0.9, 0.99]",54.0,0.27213822894168466,1.2937365010799136,0.0,0.40635515846899517,2.250111983756322,0.002924478566923161
340,"(0.9, 0.99]",55.0,0.20145631067961164,1.2281553398058254,0.0024271844660194173,0.342121543433549,2.2304544088456923,0.0033886095276909143
341,"(0.9, 0.99]",56.0,0.18434343434343434,1.2651515151515151,0.002525252525252525,0.28347944585971707,2.205143965452968,0.0037748256353908284
342,"(0.9, 0.99]",57.0,0.111731843575419,1.1871508379888267,0.008379888268156423,0.23157003476979246,2.174094417316247,0.0039444485512877756
343,"(0.9, 0.99]",58.0,0.14156626506024098,1.180722891566265,0.006024096385542169,0.18781383701031767,2.1375146769180646,0.0036847200850467143
344,"(0.9, 0.99]",59.0,0.11186440677966103,1.145762711864407,0.013559322033898305,0.15328289459493893,2.096118491960465,0.002741506486473842
345,"(0.9, 0.99]",60.0,0.0989399293286219,1.0918727915194348,0.01413427561837456,0.12787589874031266,2.050008189774527,0.001032410490384726
346,"(0.9, 0.99]",61.0,0.06882591093117409,1.0566801619433202,0.03643724696356275,0.10987895173786495,1.9993674037503841,-0.0006602383828586758
347,"(0.9, 0.99]",62.0,0.0776255707762557,1.0684931506849318,0.0228310502283105,0.09726702209732115,1.9443880193904652,4.4991161499849386e-05
348,"(0.9, 0.99]",63.0,0.06417112299465241,1.0267379679144386,0.05882352941176471,0.08829833931182891,1.8850397134947965,0.0036269629972610143
349,"(0.9, 0.99]",64.0,0.0661764705882353,0.8676470588235292,0.125,0.08146514049424226,1.8216692713182785,0.125
350,"(0.9, 0.99]",65.0,0.045454545454545456,0.8636363636363636,0.1909090909090907,0.07555526610117425,0.7551869338999292,1.1909090909090907
351,"(0.9, 0.99]",66.0,0.047619047619047616,0.7023809523809523,0.33333333333333326,0.06989426469903454,0.688206649164752,1.3333333333333333
352,"(0.9, 0.99]",67.0,0.08450704225352113,0.6338028169014085,0.4084507042253518,0.06416448339342117,0.6237315869141392,1.4084507042253518
353,"(0.9, 0.99]",68.0,0.05555555555555555,0.462962962962963,0.5555555555555556,0.058417542086247755,0.56272727973439,1.5555555555555556
354,"(0.9, 0.99]",69.0,0.09090909090909093,0.2954545454545455,0.7727272727272727,0.05284582456136826,0.5046656620133538,1.7727272727272727
355,"(0.9, 0.99]",70.0,0.09090909090909093,0.30303030303030304,0.7272727272727273,0.046868513912449526,0.45828492777409213,1.7272727272727273
356,"(0.9, 0.99]",71.0,0.12903225806451613,0.1935483870967742,0.7741935483870968,0.04139789447981151,0.40970273205148183,1.7741935483870968
357,"(0.9, 0.99]",72.0,0.0,0.05263157894736842,0.7894736842105263,0.03606805377479478,0.3595077703379775,1.7894736842105263
358,"(0.9, 0.99]",73.0,0.4117647058823529,0.2352941176470588,0.8823529411764703,0.030684037129980225,0.3087266091573042,1.8823529411764703
